Shop_Name,Location,TotalGoodsNo,TotalSales,Main_Business
"
          三年二班不一样的文具
        ",浙江 杭州,1733,559176,可爱萌物 韩国文具 笔袋 包袋 创意家居收纳 马克杯 保温杯                                                                                                                                                                                                                                                        
"
          默默爱 少女心杂货店
        ",上海,1140,481983,文具                                                                                                                                                                                                                                                              
"
          云木杂货
        ",江苏 常州,1395,297994,本 小姐 学生 简约 创意 手帐 装饰 胶带 小清新 系列 便携 Q 和纸胶带 日记 贴纸 手账 文具 记事本 可爱 DIY 清新 笔记本 0.5 内页 mm 小物件 diy 相册 中性笔 烫金 彩色 水笔 小 大容量 套装 随身 精美 透明 签字笔 小巧 办公 提醒 贴画 横线 书签 防水 可换 钢笔 唯美 笔袋 B5 手帐本 课堂 时尚 糖果色 本子 金属 插画 PVC 计划本 复古 收纳袋 手工 学习 可撕 桌面 夏日 文艺 生活 贴 韩国 记事 试卷 替芯 节日 多功能 便利贴 N次贴 练字 手账本 加厚 原创 空白 日程 黑 磨砂 旅行 铅笔 礼物 便签本 学生用 笔芯 备忘 贺卡 纯色 绘图 橡皮 人物 素材 印章 计划 卡通 多彩 用品 按动 线圈本 便签贴 档案 日记本 PP 备注 装饰贴 入 和纸 水彩 文件袋 卡片 刺绣 镭射 迷你 牛皮纸 活页 铅笔袋 针管笔 美术 笔 活页本 边框 日系 贴纸包 方格 记号笔 文字 礼盒 手提 造型 祝福 梦幻 考试 古风 折叠 生日 环保 修正带 5 异形 精致 收纳盒 日式 错题 少女心 子弹头 樱花 纸胶带 kinbor 笔杆 多用途 带帽 文具袋 拼贴 文件 子 信纸 风扇 胶纸 涂鸦 收纳 0.38 张 字帖 信封 橡皮擦 基础 甜美 绘画 得力 帆布 趣味 盒装 记录 6 PU 镂空 墨水 工具 cm 粘贴 木质 夹 立体 留言 植物 涂改带 水性笔 双头 加宽 收纳包 水杯 衣物 包装盒
"
          本小姐的店MissBook
        ",江苏 苏州,810,179213,故宫 】 【 淘宝 的 - 和纸胶带 系列 ！ 朕 （ 是 烫金 款 ） 补 此 无 书签 御 猫 套装 刺绣 特价 纹 我 手机座 你 不 钥匙扣 手绘 摆件 》 《   绝版 格格 批 盆栽 冰箱贴 宫廷 紫禁城 一 有 图 帝后 锦衣卫 皇帝 纪念品 迷你 了 贴纸 T恤 包邮 来 本 粉色 纸质 笔筒 龙袍 大 耳坠 记事本 小 红包 如 风 与 如意 折扇 屏风 盒装 新款 会 雍正 要 婚 宋徽宗 单品 去 馆藏 利是封 换 卡套 整个 退 乾隆 清风 看 可以 牡丹 iPhone 多 酷 都 之宝 杯 超 儿童 单肩包 书法 这 就 plus 帆布包 十二 行李牌 大明 美人 金属 就是 书画 胸针 似 桑蚕丝 大吉 瑕疵 不同 链条 啊 趣味 纹饰 花器 花鸟 骨瓷杯 嵌 复古 情侣 康熙 手机壳 过 笔袋 丝巾 月 收纳袋 盖碗 . 万能 想 萌萌哒 全家福 给 得 花 枝 能 胶带 两用 瑞兽 和纸 娃娃 徐来 千里江山 独角兽 山水 特别 奏折 便签夹 个 百蝶 桃花 青铜 青花 世界 知道 瘦金 真丝 笔 手链 卡通 建筑 人 团扇 青绿 海水 梅 亲临 里 超萌 小格格 可 8 藏画 女士 礼盒 萌萌 挂饰 自 前 肃静 底 摇头 天香 乾 春 所有 收纳盒 循环 少女 窄
"
          故宫淘宝 来自故宫的礼物 故宫博物院网店 原创设计店铺
        ",无,297,152338,小清新 创意 可爱 韩国 文具 小 简约 学生用 学生 彩色 笔记本 套装 手帐 贴纸 子 手账 工具 中性笔 装饰 同学 卡通 用品 透明 槑 和纸胶带 素材 女 手账本 笔 本子 大学生 个性 手绘 迷你 diy 手帐本 小学生 复古 黑色 便携 胶布 多功能 随身 本 文艺 便利贴 日本 记事本 儿童 批发 水笔 用 铅笔 日记本 记事 韩版 mm 高中 分装 胶带 彩页 大号 古风 0.5 糖果色 印花 女生 樱花 试卷 文具盒 初学者 文件袋 新 书签 笔袋 考试 萌 日记 一套 办公 B5 初中 夹子 金属 黑 夹 DIY 笔芯 文件夹 插画 桌面 成人 大容量 可撕 按动 少女 加厚 呆 小号 便签本 铅笔盒 便利 男女 晨光 记号笔 收纳 塑料 荧光笔 拉链 活页 便签纸 收纳袋 少女心 修正带 钢笔 手撕 花边 得力 学习 和纸 重点 线圈本 铅笔袋 时尚 收纳盒 烫金 手提 标记笔 贴画 便签 初中生 替芯 贴 神器 资料 礼物 日 蘸水笔 厚 粗 0.38 绘图 尺子 练字 手工 索引 的 纸胶带 固体 全针管 记事贴 空白 好看 摆件 涂改带 划 记号 备忘录 支 清新 N次贴 纸 单词本 中性 银光 无痕 软笔 英语 多层 方格 帆布 书 生日 日程 计划本 笔筒 日式 装 纯色 擦 胶套 磨砂 素描 直尺 可拆卸 礼盒 画笔 自动 百乐 减压 一 水性 动物 标记 签字笔 色 长尾夹 贺卡 文曦 指示
"
          小槑同学
        ",无,498,310695,创意 优湃 学生 可爱 小清新 韩国 文具 简约 卡通 办公 多功能 中性笔 0.5 便携 学生用 小 彩色 透明 套装 本子 手帐 mm 签字笔 批发 水笔 手账 迷你 贴纸 装饰 笔记本 晨光 diy 文件夹 得力 糖果色 桌面 儿童 笔 便利贴 黑色 大容量 用 随身 用品 铅笔 笔袋 时尚 记事本 收纳盒 加厚 女 日记 文具盒 试卷 书签 N次贴 夹 文件袋 张 小学生 考试 试卷袋 个性 笔芯 手工 记号笔 胶带 ● 黑 清新 擦 本 书写 垫板 学习 塑料 防水 绘画 文艺 橡皮擦 夏季 便签本 收纳袋 男女 降温 和纸胶带 日式 装 成人 女生 6 强力 小号 复古 手绘 尺子 标记笔 资料 4 礼物 双头 磨砂 记事 大号 素材 樱花 原创 入 可撕 多层 帆布 手帐本 修正带 重点 色 便携式 钢笔 索引 贴 金属 子 韩版 按动 笔筒 爱好 8 资料册 荧光笔 剪刀 冰垫 双层 枚 文件 涂改带 直尺 粗 支 自动 绘图 相册 日记本 文具袋 工具 DIY 细 纯色 唯美 计算器 A4 旅行 速干 中国风 猫咪 牛皮纸 分类 3 水果 收纳 宿舍 便签纸 0.38 手账本 荧光 涂鸦 手机 造型 半透明 PP 练字 资料袋 科目 B5 留言 圆珠笔 铅笔袋 资料夹 中小学生 卡片 夹板 英语 拉链袋 烫金 改正带 得 勾线笔 美甲 水杯 初学者 一套 单词本 少女 干净 杯子 化妆 2 cm 拉链 耳机 明信片 划
"
          优湃精品文具店
        ",浙江 金华,477,267594,进口正品 水笔 笔记本 铅笔 圆珠笔 橡皮 尺类 文件夹 胶水 剪刀 绘画用笔                                                                                                                                                                                                                                                    
"
          联新办公专营店
        ",上海,1022,211624,学生用品 办公用品 六一儿童节礼物 考试必备 中性笔 替芯 本册 笔袋 米菲 铅笔 圆珠笔 修正带 笔袋                                                                                                                                                                                                                                                              
"
          晨光官方旗舰店
        ",上海,506,137792,创意 学生 可爱 韩国 小清新 简约 文具 卡通 便携 中性笔 办公 迷你 笔袋 小 大容量 0.5 mm 笔记本 彩色 记事本 本子 学习 签字笔 韩版 随身 透明 学生用 用品 时尚 个性 水笔 黑色 儿童 考试 便利贴 多功能 男女 造型 风扇 夏季 水性笔 书签 装饰 女 礼物 便签本 日记本 N次贴 旅行 清新 批发 ！ 动物 清仓 复古 贴纸 桌面 手帐 铅笔袋 金属 糖果色 帆布 文具袋 可撕 套装 记事 文字 水果 本 得力 手机 塑料 留言 加厚 小学生 爱好 荧光笔 铅笔盒 新款 文具盒 收纳袋 笔 防水 女生 修正带 盒装 卡套 手账 手账本 记号笔 系列 书写 USB 零钱包 笔芯 手持 神器 少女心 全针管 钥匙扣 扇子 拉链 清凉 折叠 日韩 仙人掌 DIY 文件袋 磨砂 发圈 贴 硅胶 礼品袋 水杯 晨光 少女 家用 头绳 收纳盒 收纳 手帐本 0.38 用 眼镜盒 日记 可 礼品 线圈本 挂件 橡皮擦 子 发绳 计划本 和纸胶带 碳素笔 重点 便签 手提袋 空白 奖品 图案 手提 便签纸 生日 相册 便携式 潮流 袋 保护套 梳子 胶带 标记笔 针管 涂改带 文艺 黑 夹 玩具 户外 纯色 圆珠笔 橡皮 替芯 粉色 中国风 中性 古风 收纳包 支 宿舍 按动 直液式 装 B5 手工 笔盒 硬币包 试卷 饭卡 大学生 PU 男 涂鸦 降温 玻璃杯 标记 不锈钢 白雪 杯子 日程本 中小学生 发饰 猫咪 直尺 6 支架 环保 diy 铅笔 定制
Catch凯奇萌物馆 满9块9包邮,浙江 金华,1014,165108,创意 可爱 韩国 学生 文具 卡通 小清新 简约 便携 迷你 大容量 小 中性笔 学生用 办公 彩色 韩版 笔袋 0.5 透明 儿童 笔记本 女 mm 水笔 黑色 随身 本子 小学生 男女 记事本 装饰 便利贴 帆布 贴纸 签字笔 得力 记事 糖果色 N次贴 手帐 个性 学习 芯 造型 加厚 桌面 旅行 手账 塑料 用品 文件袋 时尚 收纳 修正带 清新 拉链 套装 复古 日记 铅笔盒 家用 多功能 夏季 DIY 本 女生 防水 收纳盒 可撕 宿舍 大号 便签本 收纳袋 考试 金属 手机 文具盒 日记本 涂改带 铅笔 礼物 贴 手提 便携式 小号 A4 胶带 风扇 文具袋 钥匙扣 可 磨砂 文艺 防滑 盒装 书签 日式 动物 便签 成人 试卷 神器 手帐本 留言 活页 带盖 折叠 水果 改正带 夹 皮质 厨房 日 日本 中小学生 子 隐形 情侣 diy 男 便签纸 用 按动 笔芯 办公室 文件夹 杯子 空白 铅笔袋 绘图 家居 和纸胶带 袜子 玩具 零钱包 橡皮擦 卡套 眼镜盒 相册 定制 水杯 纯色 双层 布艺 资料 唯美 旅游 可充电 无痕 手持 信封 初中 衣服 拉链袋 手账本 萌 笔 夹子 女士 礼品 记号笔 线圈本 6 带 客厅 自动 生日 涂鸦 降温 工具 浴室 水性笔 不锈钢 近视 摆件 挂件 12 收纳包 0.38 硅胶 计划本 尺子 日韩 直液式 横线 纯棉 盒 资料袋 荧光笔 短袜 手提袋 通用 5 卡片 张 中国风 耳机 袋 冬季
