Province,City,Number,Lng,Lat
上海市,Shanghai,218,121.487899,31.249162
北京市,Beijing,117,116.395645,39.929986
浙江省,Jinhua,72,119.652576,29.102899
浙江省,Hangzhou,50,120.219375,30.259244
广东省,Guangzhou,43,113.30765,23.120049
广东省,Shenzhen,31,114.025974,22.546054
浙江省,Wenzhou,31,120.690635,28.002838
湖北省,Wuhan,27,114.3162,30.581084
浙江省,Ningbo,21,121.579006,29.885259
天津市,Tianjin,16,117.210813,39.14393
江苏省,Suzhou,15,120.619907,31.317987
江苏省,Nanjing,14,118.778074,32.057236
四川省,Yaan,10,102.89916,30.367481
浙江省,Taizhou,10,121.591047,29.142748
福建省,Xiamen,10,118.103886,24.489231
辽宁省,Shenyang,10,123.432791,41.808645
山东省,Jinan,9,117.024967,36.682785
江苏省,Wuxi,9,120.305456,31.570037
浙江省,Hangzhou,9,120.219375,30.259244
重庆市,Chongqing,8,106.530635,29.544606
河北省,Shijiazhuang,7,114.522082,38.048958
陕西省,Xi'an,7,108.953098,34.2778
山东省,Qingdao,7,120.384428,36.105215
湖南省,Changsha,6,112.979353,28.213478
江苏省,Changzhou,6,119.981861,31.771397
山东省,Linyi,6,118.347445,35.058878
浙江省,Jinhua,5,119.652576,29.102899
广东省,Shantou,5,116.72865,23.383908
广东省,Dong'guan,5,113.763434,23.043024
黑龙江省,Ha'erbin,5,126.657717,45.773224
辽宁省,Dalian,4,121.593478,38.94871
福建省,Quanzhou,4,118.600362,24.901652
江苏省,Nanjing,4,118.778074,32.057236
江苏省,Huai'an,4,119.313295,33.528349
浙江省,Ningbo,4,121.579006,29.885259
山西省,Taiyuan,4,112.550864,37.890277
浙江省,Huzhou,3,120.137243,30.877925
山东省,Zibo,3,118.059134,36.804685
广东省,Foshan,3,113.134026,23.035095
浙江省,Jinhua,3,119.957202,29.159494
浙江省,Jinhua,3,119.957202,29.159494
河南省,Zhengzhou,3,113.649644,34.75661
河北省,Baoding,3,115.49481,38.886565
江苏省,Nantong,3,120.873801,32.014665
安徽省,Hefei,3,117.282699,31.866942
甘肃省,Lanzhou,3,103.823305,36.064226
安徽省,Wuhu,3,118.384108,31.36602
福建省,Fuzhou,2,119.330221,26.047125
江苏省,Suzhou,2,120.619907,31.317987
江苏省,Yangzhou,2,119.427778,32.408505
江苏省,Wuxi,2,120.305456,31.570037
广东省,Guangzhou,2,113.30765,23.120049
广东省,Zhuhai,2,113.562447,22.256915
广东省,Jiangmen,2,113.078125,22.575117
广西壮族自治区,Yulin,2,110.151676,22.643974
安徽省,Bengbu,2,117.35708,32.929499
广东省,Shenzhen,2,114.025974,22.546054
山东省,Weifang,2,119.117934,36.656005
山东省,Jining,2,116.600798,35.402122
江苏省,Lianyungang,2,119.173872,34.601549
江苏省,Yangzhou,2,119.368489,33.013797
安徽省,Hefei,2,117.282699,31.866942
江苏省,Zhenjiang,2,119.455835,32.204409
江西省,Nanchang,2,115.893528,28.689578
湖北省,Wuhan,2,114.3162,30.581084
河南省,Luoyang,1,112.447525,34.657368
江西省,Shangrao,1,117.955464,28.457623
浙江省,Zhoushan,1,122.169872,30.03601
广东省,Guangzhou,1,113.394818,23.408004
湖北省,Huanggang,1,114.906618,30.446109
湖北省,Xuanyu,1,111.310981,30.732758
山东省,Qingdao,1,120.384428,36.105215
河北省,Qinhuangdao,1,119.604368,39.945462
辽宁省,Fushun,1,123.92982,41.877304
浙江省,Shaoxing,1,120.592467,30.002365
广东省,Shantou,1,116.72865,23.383908
湖南省,Shaoyang,1,111.461525,27.236811
甘肃省,Wuwei,1,102.457625,38.103267
广东省,Chaozhou,1,116.630076,23.661812
山西省,Datong,1,113.290509,40.113744
湖北省,Jingmen,1,112.410562,31.209316
山东省,Jinan,1,117.024967,36.682785
贵州省,Guiyang,1,106.709177,26.629907
湖北省,Huanggang,1,114.906618,30.446109
浙江省,Hangzhou,1,120.219375,30.259244
江苏省,Yangzhou,1,119.368489,33.013797
湖北省,Yichang,1,111.310981,30.732758
山东省,Heze,1,115.46336,35.26244
广西壮族自治区,Nan'ning,1,108.297234,22.806493
河北省,Baoding,1,115.661434,38.61384
江西省,Jingdezhen,1,117.186523,29.303563
浙江省,Jinhua,1,119.957202,29.159494
安徽省,Chuzhou,1,118.32457,32.317351
湖南省,Hengyang,1,112.583819,26.898164
福建省,Xiamen,1,118.103886,24.489231
江苏省,Yancheng,1,120.148872,33.379862
浙江省,Wenzhou,1,120.690635,28.002838
山西省,Yuncheng,1,111.006854,35.038859
山东省,Weihai,1,122.093958,37.528787
四川省,Ya'an,1,102.89916,30.367481
云南省,Kunming,1,102.714601,25.049153
浙江省,Jiaxing,1,120.760428,30.773992
湖南省,Changde,1,111.653718,29.012149
湖北省,Weining,1,114.300061,29.880657
广东省,Shenzhen,1,114.025974,22.546054
辽宁省,Anshan,1,123.007763,41.118744
四川省,Ya'an,1,102.89916,30.367481
安徽省,Anqing,1,117.058739,30.537898
山西省,Yuncheng,1,111.006854,35.038859
安徽省,Hefei,1,117.216005,31.859252
四川省,Ya'an,1,102.89916,30.367481
黑龙江省,Suihua,1,128.047414,47.356593
湖北省,Miao Autonomous Region,1,109.517433,30.308979
安徽省,Hefei,1,117.216005,31.859252
辽宁省,Dandong,1,124.338543,40.129023
广东省,Jieyang,1,116.379501,23.547999
